정류소명,정류소아이디(ID),승차건수(총합계),하차건수(총합계),승차건수(카드),하차건수(카드),승차건수(현금),일평균 승하차건수
동아아파트,37248,926,1173,912,1173,14,69
동아아파트,41070,3223,763,3138,763,85,132
동아아파트,41072,757,2715,726,2715,31,115
동아아파트,41403,900,4111,899,4111,1,167
동아아파트,42404,3315,4032,3212,4032,103,244
동아아파트,42406,5700,3076,5556,3076,144,292
동아아파트후문,40257,2160,2519,2092,2519,68,155
동아아파트후문,40258,2187,1734,2159,1734,28,130
동아전기,42647,62,421,62,421,0,16
동아전기,42725,72,425,66,425,6,16
동아정밀,42037,1405,2634,1398,2634,7,134
동아풍림아파트,37037,15003,17793,14570,17793,433,1093
동암국민주택,40014,3231,860,3160,860,71,136
동암국민주택,40015,776,1940,755,1940,21,90
동암남부역,40034,42560,28871,42021,28871,539,2381
동암남부역,40797,130817,112781,129813,112781,1004,8119
동암남부역,40861,876,6388,870,6388,6,242
동암남부역,40862,17679,14234,17441,14234,238,1063
동암마트,40039,152,2045,133,2045,19,73
동암북부역,40013,33717,16211,33301,16211,416,1664
동암북부역,40035,10568,31889,10425,31889,143,1415
동암북부역광장,40800,67984,53478,67395,53478,589,4048
동암사거리,40001,13568,15691,13494,15691,74,975
동암사거리,40003,3414,5635,3381,5635,33,301
동양도서관,41522,7309,4014,7255,4014,54,377
동양도서관(휴먼빌아파트),41523,4087,5420,4060,5420,27,316
동양엔파트4단지,42820,2042,4640,1926,4640,116,222
동양엔파트4단지,42837,4002,1699,3958,1699,44,190
동양엔파트5단지,42986,2586,2823,2435,2823,151,180
동양자이입구,41554,3303,4293,3266,4293,37,253
동양자이입구,41555,3771,3170,3747,3170,24,231
동양장사거리,37301,7842,6058,7766,6058,76,463
동양주공1.2단지,41372,12528,3457,12325,3457,203,532
동양주공1.2단지,41373,2963,7817,2913,7817,50,359
동양지구1단지정문,41521,718,2450,716,2450,2,105
동양지구입구,41445,5441,621,5363,621,78,202
동양지구입구,41446,1382,7172,1369,7172,13,285
동양하이테크,42966,24,229,24,229,0,8
동원아파트,25166,274,280,272,280,2,18
동원아파트,25167,287,106,276,106,11,13
동원아파트,37376,4991,2173,4891,2173,100,238
동원아파트,37379,1777,3320,1728,3320,49,169
동인천,35188,30830,36020,30453,36020,377,2228
동인천(우리은행앞),35517,818,459,798,459,20,42
동인천동행정복지센터,35795,42,392,39,392,3,14
동인천동행정복지센터,35805,68,172,64,172,4,8
동인천역,35185,103513,51497,101813,51497,1700,5167
동인천역,35187,5432,9699,5286,9699,146,504
동인천역,35191,76098,88667,74876,88667,1222,5492
동인천역,35192,10735,22181,10335,22181,400,1097
동인천역북광장,36136,26717,17627,26315,17627,402,1478
동인천역북광장,36137,28821,16438,28320,16438,501,1508
동인천중학교,39229,1602,943,1588,943,14,84
동인천중학교,39230,1820,1268,1780,1268,40,102
동일방직,36031,3871,3562,3814,3562,57,247
동일방직,36032,3798,2610,3744,2610,54,213
동일아파트,35177,449,1661,343,1661,106,70
동작세무서,20005,19,307,19,307,0,10
동주농장,43349,4,8,4,8,0,0
동주농장,43401,24,2,22,2,2,0
동촌,43407,115,0,112,0,3,3
동촌,43793,9,98,9,98,0,3
동춘2동행정복지센터,38045,1172,6031,1096,6031,76,240
동춘2동행정복지센터,38046,5990,691,5826,691,164,222
동춘동종점,38037,279,864,211,864,68,38
동춘동차고지,38569,558,321,469,321,89,29
동춘롤러경기장,38704,337,467,308,467,29,26
동춘마을아파트,38082,6690,4662,6601,4662,89,378
동춘마을아파트,38087,3024,6667,2964,6667,60,323
동춘역,38346,29228,19795,29062,19795,166,1634
동춘역(이마트),38060,12496,687,12465,687,31,439
동춘역(이마트.스퀘어원),38070,27835,35063,27698,35063,137,2096
돼지슈퍼.간동입구,80019,85,854,81,854,4,31
두두미마을,43289,10,0,10,0,0,0
두두미마을,43869,0,8,0,8,0,0
두밀경노당,89328,13,127,13,127,0,4
두밀경노당,89331,112,0,110,0,2,3
두산아파트,40564,2105,3753,1961,3753,144,195
두산위브아파트,37043,14724,8642,14503,8642,221,778
두산위브아파트,40630,10156,503,10051,503,105,355
두산위브아파트,40648,371,1089,362,1089,9,48
두운1리마을회관앞,90047,4,34,4,34,0,1
두운1리마을회관앞,90048,26,2,26,2,0,0
두운리,43034,0,19,0,19,0,0
두운리,43540,85,174,81,174,4,8
둑실경로당,41498,3,26,3,26,0,0
둑실경로당,41514,34,1,34,1,0,1
둑실동(아라마루전망대),41494,31,551,31,551,0,19
둑실동(아라마루전망대),41512,809,10,806,10,3,27
둑실동회차지,41500,71,55,71,55,0,4
둥개마을오거리,35861,24,7,24,7,0,1
둥개마을오거리,35862,14,5,14,5,0,0
둥깨마을입구(세븐일레븐),35721,8,70,8,70,0,2
둥깨마을입구(세븐일레븐),35722,55,5,45,5,10,2
둥깨마을입구(용성철강),35723,0,3,0,3,0,0
둥깨마을입구(용성철강),35724,58,0,57,0,1,1
뒤골입구,35668,30,1,30,1,0,1
뒤골입구,35669,1,26,1,26,0,0
뒷골 입구,90377,11,57,11,57,0,2
뒷골 입구,90380,57,0,57,0,0,1
뒷방죽들,39959,590,26,580,26,10,20
뒷방죽들,39960,6727,7713,6679,7713,48,481
드라이빙센터,35589,39,1143,39,1143,0,39
드림로갈산교,41342,112,58,109,58,3,5
드림로갈산교,41343,86,530,86,530,0,20
드림파크야생화단지,89363,1323,18,1151,18,172,44
드림파크야생화단지,89364,169,1090,9,1090,160,41
드림파크어울림,89201,2,19,2,19,0,0
드림파크어울림,89202,0,1,0,1,0,0
드무리해변,44011,25,598,21,598,4,20
드무리해변,44012,530,42,527,42,3,19
디에스솔텍,39035,2991,2241,2964,2241,27,174
디에스솔텍,39038,2317,2155,2315,2155,2,149
디에트로더힐,89455,1908,867,1895,867,13,92
디에트로더힐,89464,20,27,20,27,0,1
디에트르더힐(고산터널),89396,1139,1921,1126,1921,13,102
뗏마루어린이공원·신화아파트,39405,4913,6937,4801,6937,112,395
라이크홈기숙사앞,39993,1844,907,1833,907,11,91
라이크홈기숙사앞,39994,1853,1614,1853,1614,0,115
라이크홈기숙사앞,39995,1297,92,1284,92,13,46
라이크홈기숙사앞,39996,86,786,69,786,17,29
라이프쇼핑앞,35070,6396,4422,6194,4422,202,360
라이프아파트,35060,130,4911,117,4911,13,168
라이프아파트,35062,11947,133,11673,133,274,402
래미안아파트파이낸셜뉴스,31072,8900,8077,8886,8077,14,565
래미안아파트파이낸셜뉴스,32002,3519,1406,3514,1406,5,164
랜드마크시티센트럴더샵,38636,51,2293,51,2293,0,78
랜드마크시티센트럴더샵(106동),38665,834,6558,816,6558,18,246
랜드마크시티센트럴더샵(106동),38666,6054,590,5939,590,115,221
랜드마크시티센트럴더샵(203동),38645,7928,580,7832,580,96,283
랜드마크시티센트럴더샵(203동),38650,700,6714,681,6714,19,247
럭키아파트,23488,233,107,233,107,0,11
럭키아파트,38115,4283,155,4174,155,109,147
럭키아파트,38132,1338,8852,1319,8852,19,339
레이크파크,42840,1356,4335,1289,4335,67,189
레전드호텔,35639,2041,1595,2025,1595,16,121
레전드호텔,35640,4,498,3,498,1,16
레지던스라이크홈,92012,351,4150,351,4150,0,150
로봇랜드입구,89022,3165,59,3121,59,44,107
로봇랜드입구,89023,5,1748,2,1748,3,58
로봇타워,89301,7,355,5,355,2,12
로봇타워,89302,816,64,689,64,127,29
로얄금속,40599,5719,3587,5688,3587,31,310
로얄아파트,37247,32022,14720,31629,14720,393,1558
로얄아파트,37424,578,315,564,315,14,29
로얄타운,42047,1537,2481,1504,2481,33,133
로얄호텔,43542,4,24,4,24,0,0
로얄호텔,43878,27,20,27,20,0,1
롯데마트,35108,3265,4650,3173,4650,92,263
롯데마트,41390,940,47,924,47,16,32
롯데마트,41391,70,2077,54,2077,16,71
롯데마트,42829,16538,8279,16454,8279,84,827
롯데마트,42838,7571,17416,7474,17416,97,832
롯데마트계양점(고용복지센터),41227,28839,17886,28499,17886,340,1557
롯데마트계양점(고용복지센터),41424,10112,19740,10056,19740,56,995
롯데마트송도점,38523,2199,737,2179,737,20,97
롯데몰.김포공항,25174,293,1311,293,1311,0,53
롯데백화점(인천터미널),37513,177804,164453,175729,164453,2075,11408
롯데백화점(인천터미널),39588,166740,119321,164383,119321,2357,9535
롯데슈퍼,38072,7889,2731,7820,2731,69,354
롯데슈퍼,38074,2349,7265,2326,7265,23,320
롯데슈퍼,42206,2713,4332,2649,4332,64,234
롯데슈퍼,42207,6970,2428,6827,2428,143,313
롯데아파트,38110,6296,8973,6115,8973,181,508
롯데우람아파트,42152,4534,6528,4496,6528,38,368
롯데우람아파트,42603,3349,5357,3306,5357,43,290
롯데월드타워,37327,2906,5310,2812,5310,94,273
롯데캐슬,39795,346,224,338,224,8,19
롯데캐슬,39796,2058,879,2031,879,27,97
롯데캐슬,39797,363,80,361,80,2,14
롯데캐슬,39798,71,348,71,348,0,13
롯데캐슬,42835,7159,4997,7101,4997,58,405
롯데캐슬,42884,4637,9588,4421,9588,216,474
롯데캐슬,42999,922,3078,876,3078,46,133
롯데캐슬.모래내시장,39309,56859,21720,56170,21720,689,2619
